# Improved FL_DispatchCommand call-site dump (backward immediate scan)
# FL_DispatchCommand(cmdId=RCX, value=RDX, flags=R8) @ 0xF53FE0
# callSiteRVA	caller	cmdId	value	flags
107df83	TFruityLoopsMainForm.FrontVolWheelChange	computed	computed	0x3dd
107dfa3	TFruityLoopsMainForm.FrontVolWheelHint	computed	computed	0x4
1082a10	FUN_01082800	computed	computed	0x11
108a7cd	FUN_0108a1a0	computed	computed	0x11
108a7eb	FUN_0108a1a0	computed	computed	0x11
10e3141	FUN_010e2ef0	computed	computed	0x1
10f353c	TFruityLoopsMainForm.DeletePluginMenuClick	computed	0x1	0x251
10f39aa	FUN_010f3970	computed	0x1	0x251
10f39e0	FUN_010f3970	computed	0x3200	0x251
10f6a61	FUN_010f64a0	computed	0x0	0x1a
10f6e3b	FUN_010f64a0	computed	0x0	0x1001a
1115d7e	TFruityLoopsMainForm.EEInitMenuClick	computed	0x0	0x2
111fbe8	FUN_0111fb60	computed	computed	computed
11321ef	FUN_01132120	computed	computed	0x3fd
1133c08	TFruityLoopsMainForm.MLParam_HumanizeMenuClick	computed	computed	0x3fd
113417a	TFruityLoopsMainForm.MLParam_RandMenuClick	computed	computed	0x3fd
114a23c	TFruityLoopsMainForm.EEAUAutoPanMenuClick	computed	0x1900	0x11
11600fd	FUN_01160070	computed	0x0	0x2
1160111	FUN_01160070	computed	computed	0x3d5
118e916	FUN_0118e880	computed	0x1	computed
118e92c	FUN_0118e880	computed	0x3200	computed
118e961	FUN_0118e880	computed	0x3200	computed
118e974	FUN_0118e880	computed	0x0	computed
118e987	FUN_0118e880	computed	0x0	computed
118e9a5	FUN_0118e880	computed	0x0	computed
118e9ba	FUN_0118e880	computed	computed	computed
118e9d2	FUN_0118e880	computed	0x445c	computed
118fe88	FUN_0118fdc0	computed	0x1	0x1a
118fea0	FUN_0118fdc0	computed	0x3200	0x1a
118fed3	FUN_0118fdc0	computed	0x3200	0x1a
118fee8	FUN_0118fdc0	computed	0x0	0x1a
118fefd	FUN_0118fdc0	computed	0x0	0x1a
118ff21	FUN_0118fdc0	computed	0x0	0x1a
118ff3c	FUN_0118fdc0	computed	computed	0x1a
118ff56	FUN_0118fdc0	computed	0x445c	0x1a
11909d5	FUN_0118fdc0	computed	0x0	0x1a
11a0466	TFXForm.LinkMenuClick	computed	computed	0x11
11a4693	TFXForm.MixSend1WheelChange	computed	computed	0x3dd
11a46b3	FUN_011a46a0	computed	computed	0x4
11a4be4	FUN_011a4970	computed	0x0	0x2
11a4bf4	FUN_011a4970	computed	computed	0x3dd
11a4e22	FUN_011a4970	computed	0x0	0x2
11a4e31	FUN_011a4970	computed	computed	0x3d9
11a4f89	FUN_011a4970	computed	computed	0x3dd
11a5123	FUN_011a5110	computed	computed	0x4
11bb369	FUN_011bb2f0	computed	0x0	0x2
11bb490	FUN_011bb3b0	computed	computed	0x3dd
11da8d1	FUN_011da800	computed	computed	0x3dd
11df6a3	FUN_011df440	computed	computed	0x1
11ffe4c	FUN_011ff540	computed	0x0	0x3cd
11ffe69	FUN_011ff540	computed	0x0	0x3cd
11ffe83	FUN_011ff540	computed	0x0	0x3cd
1222b0e	FUN_01218480	computed	computed	0x3dd
1222ba9	FUN_01218480	computed	computed	0x3dd
1224a43	FUN_01224a20	computed	computed	0x3c0

# === Constant global (0x4000xxxx) cmdId call sites ===
df6d62	FUN_00df6810	0x40000005	computed	computed
e0a2b9	FL_cmdhandler_SetTempo	0x40000005	computed	0x3dd
ef8e0c	FUN_00ef7b20	0x40000001	computed	0x11
f3b0e6	FUN_00f3b0c0	0x40000002	0x0	0x2
f3b249	FUN_00f3b0c0	0x40000002	computed	0x11

# distinct global cmdIds: [0x40000001, 0x40000002, 0x40000005]
# total call sites scanned: 160
