# FuncRVA	QualifiedName
b80b40	TCloudAccountsForm.CloudDisconnectBtnClick
b80b60	TCloudAccountsForm.SoundCloudPaintBoxPaint
b80c70	TCloudAccountsForm.SoundCloudConnectBtnPaint
b80fd0	TCloudAccountsForm.SoundCloudDisconnectBtnPaint
b81320	TCloudAccountsForm.YouTubePaintBoxPaint
b81470	TCloudAccountsForm.YouTubeConnectBtnPaint
b816e0	TCloudAccountsForm.YouTubeDisconnectBtnPaint
b81940	TCloudAccountsForm.StatusPaintBoxPaint
b8a450	TDWPRenderForm.OkBtnClick
b8ca60	TDWPRenderForm.FormCloseQuery
b8c6c0	TDWPRenderForm.CancelBtnClick
b8ce50	TDWPRenderForm.FormShow
b8cea0	TDWPRenderForm.FormCreate
b8d550	TDWPRenderForm.BackBtnClick
b8d650	TDWPRenderForm.FormClose
b8d580	TDWPRenderForm.FormAlignPosition
b8cfb0	TDWPRenderForm.FormDestroy
b8d420	TDWPRenderForm.MIDILowNoteSelectGetText
b8d4e0	TDWPRenderForm.MIDILowNoteSelectMouseDown
b8c810	TDWPRenderForm.LoopTuningBoxClick
b8c6e0	TDWPRenderForm.EnableLoopingBoxClick
b8d0a0	TDWPRenderForm.MIDIHighNoteSelectChange
b8d0e0	TDWPRenderForm.MIDIKbLayerChange
b8d1a0	TDWPRenderForm.MIDIKbNoteOn
b8d170	TDWPRenderForm.MIDIKbNoteOff
b8cff0	TDWPRenderForm.ZoneVelocityStepsChange
b8c6b0	TDWPRenderForm.gaugeTimer
ba6180	TMEBaseModalForm.FormContextPopup
ba6190	TMEBaseModalForm.FormCreate
ba6260	TMEBaseModalForm.FormShow
ba60b0	TMEBaseModalForm.FormAlignPosition
ba60a0	TMEBaseModalForm.FormAlignInsertBefore
ba61e0	TMEBaseModalForm.FormResize
ba7c50	TMEWAVPropForm.TempoDetect3MenuClick
ba85a0	TMEWAVPropForm.TempoDetect1MenuClick
ba7a20	TMEWAVPropForm.TempoDetect2MenuClick
ba8350	TMEWAVPropForm.PitchDefBtnClick
ba83b0	TMEWAVPropForm.PitchDetectBtnClick
ba8720	TMEWAVPropForm.RoundPitchBtnClick
ba8150	TMEWAVPropForm.MiddleNoteSelGetItemFlags
ba7570	TMEWAVPropForm.FormDestroy
ba8a90	TMEWAVPropForm.N110251Click
ba8950	TMEWAVPropForm.RgnZoomMenuClick
ba88e0	TMEWAVPropForm.TempoLimitMenuOpenWindow
ba87f0	TMEWAVPropForm.RoundTempoBtnClick
ba8340	TMEWAVPropForm.NumBeatsEditChange
ba8330	TMEWAVPropForm.TempoEditChange
ba8270	TMEWAVPropForm.BPMDefBtnClick
ba80d0	TMEWAVPropForm.MiddleNoteSelBeforePopup
ba7350	TMEWAVPropForm.FormCreate
ba8090	TMEWAVPropForm.FNameEditKeyPress
ba8910	TMEWAVPropForm.TempoSyncBoxClick
ba7580	TMEWAVPropForm.FormShow
ba79b0	TMEWAVPropForm.SmpRateEditChange
ba8190	TMEWAVPropForm.MIDIKbLayerChange
ba80e0	TMEWAVPropForm.MiddleNoteSelChange
ba8230	TMEWAVPropForm.MIDIKbNoteOn
